Place_ID,Zone,State,City,Place_Name,Place_Type,Significance
1,Northern,Delhi,Delhi,India Gate,War Memorial,Historical
2,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,Historical
3,Northern,Delhi,Delhi,Akshardham Temple,Temple,Religious
4,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,Environmental
5,Northern,Delhi,Delhi,Jantar Mantar,Observatory,Scientific
6,Northern,Delhi,Delhi,Chandni Chowk,Market,Market
7,Northern,Delhi,Delhi,Lotus Temple,Temple,Religious
8,Northern,Delhi,Delhi,Red Fort,Fort,Historical
9,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,Historical
10,Northern,Delhi,Delhi,Sunder Nursery,Park,Botanical
11,Northern,Delhi,Delhi,Garden of Five Senses,Park,Botanical
12,Northern,Delhi,Delhi,Lodhi Garden,Park,Botanical
13,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,Artistic
14,Northern,Delhi,Delhi,National Zoological Park ,Zoo,Environmental
15,Northern,Delhi,Delhi,Qutub Minar,Monument,Historical
16,Northern,Delhi,Delhi,National Science Centre,Science,Scientific
17,Western,Maharastra,Mumbai,Marine Drive,Promenade,Scenic
18,Western,Maharastra,Mumbai,Gateway of India,Monument,Historical
19,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,Historical
20,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,Wildlife
21,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,Religious
22,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,Religious
23,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,Religious
24,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Recreational
25,Western,Maharastra,Mumbai,Essel World,Amusement Park,Recreational
26,Western,Maharastra,Mumbai,Elephanta Caves,Monument,Historical
27,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,Recreational
28,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,Historical
29,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,Nature
30,Southern,Karnataka,Bangalore,Cubbon Park,Park,Nature
31,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,Architectural
32,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,Religious
33,Southern,Telangana,Hyderabad,Charminar,Landmark,Historical
34,Southern,Telangana,Hyderabad,Golconda Fort,Fort,Historical
35,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,Scenic
